Year,Dimension,Municipio,GeoCode,Value
2019,valor municipio,Cabra del Santo Cristo,23017.0,186.88
2019,valor municipio,Cambil,23018.0,139.78
2019,valor municipio,Campillo de Arenas,23019.0,116.64
2019,valor municipio,Canena,23020.0,14.32
2019,valor municipio,Carboneros,23021.0,58.56
2019,valor municipio,Cárcheles,23901.0,40.48
2019,valor municipio,Carolina (La),23024.0,201.22
2019,valor municipio,Castellar,23025.0,157.21
2019,valor municipio,Castillo de Locubín,23026.0,102.49
2019,valor municipio,Cazalilla,23027.0,46.59
2019,valor municipio,Cazorla,23028.0,305.17
2019,valor municipio,Chiclana de Segura,23029.0,235.8
2019,valor municipio,Chilluévar,23030.0,38.75
2019,valor municipio,Escañuela,23031.0,13.74
2019,valor municipio,Espeluy,23032.0,25.48
2019,valor municipio,Frailes,23033.0,40.31
2019,valor municipio,Fuensanta de Martos,23034.0,54.01
2019,valor municipio,Fuerte del Rey,23035.0,35.07
2019,valor municipio,Génave,23037.0,63.53
2019,valor municipio,Guardia de Jaén (La),23038.0,38.4
2019,valor municipio,Guarromán,23039.0,96.15
2019,valor municipio,Higuera de Calatrava,23041.0,38.74
2019,valor municipio,Hinojares,23042.0,40.0
2019,valor municipio,Hornos,23043.0,117.48
2019,valor municipio,Huelma,23044.0,250.09
2019,valor municipio,Huesa,23045.0,138.32
2019,valor municipio,Ibros,23046.0,55.76
2019,valor municipio,Iruela (La),23047.0,123.87
2019,valor municipio,Iznatoraf,23048.0,86.47
2019,valor municipio,Jabalquinto,23049.0,73.19
2019,valor municipio,Jaén,23050.0,423.93
2019,valor municipio,Jamilena,23051.0,8.98
2019,valor municipio,Jimena,23052.0,48.01
2019,valor municipio,Jódar,23053.0,148.66
2019,valor municipio,Lahiguera,23040.0,44.73
2019,valor municipio,Larva,23054.0,41.73
2019,valor municipio,Linares,23055.0,196.56
2019,valor municipio,Lopera,23056.0,67.86
2019,valor municipio,Lupión,23057.0,24.31
2019,valor municipio,Mancha Real,23058.0,97.63
2019,valor municipio,Marmolejo,23059.0,177.97
2019,valor municipio,Martos,23060.0,260.95
2019,valor municipio,Mengíbar,23061.0,62.3
2019,valor municipio,Montizón,23062.0,211.79
2019,valor municipio,Navas de San Juan,23063.0,175.63
2019,valor municipio,Noalejo,23064.0,49.77
2019,valor municipio,Orcera,23065.0,126.1
2019,valor municipio,Peal de Becerro,23066.0,147.24
2019,valor municipio,Pegalajar,23067.0,79.89
2019,valor municipio,Porcuna,23069.0,175.48
2019,valor municipio,Pozo Alcón,23070.0,138.5
